Code;Gencod;Long_Name;Short_Name;VAT_Code;Purchase_Price;Nomenclature;SousFamilleDistri_Code;FamilleDistri_Code;Categorie_Code
003302;3511110003302;POCHETTES PRESSE 3.30E(CU)    ;POCHETTES PRES;6 ;2.26;0330010505;10;951;ZZ
039067;3029330001652;250G CANAPE ROND BRIOCHE FGRAS;250G CANAPE RO;1 ;1.04;0210210500;91;20 ;3 
099083;3266140058272;4X120G SUPREME SOUFFLE NATURE ;4X120G SUPREME;1 ;1.45;0240390520;34;380;3 
085424;3361291955026;250G ABRICOTS MOELLEUX        ;250G ABRICOTS ;1 ;2.4;0230361516;10;120;3 
159249;3481010092587;375G PRUNEAUX MI CUIT CAL33/44;375G PRUNEAUX ;1 ;2.42;0230362020;10;120;ZZ
101482;3760013551049;67G MINI FLEUR BONBONS        ;67G MINI FLEUR;2 ;1.45;0205202510;20;70 ;ZZ
490204;3760171490204;DELRIEU SPR. PROT.150ML S(CU) ;DELRIEU SPR. P;2 ;6.73;0120154505;99;650;ZZ
160949;5413588619062;210G TRIO TARTINABLE BARQUETTE;210G TRIO TART;1 ;1.79;0230350620;90;450;ZZ
073401;3256225426843;4L BTE HERM.RECT.VERT GRILLE U;4L BTE HERM.RE;2 ;3.38;0305581005;50;540;8 
328335;8032484860377;110G MORTADELLE REGINA IGP COR;110G MORTADELL;1 ;1.71;0245422005;11;380;4 
139079;3398920000017;2KG SACHET DE GLACONS         ;2KG SACHET DE ;1 ;1.6;0215253515;10;395;4 
673405;0000030045446;42G CUBE DE LEVURE MENAGERE   ;42G CUBE DE LE;1 ;0.18;0205201005;30;415;3 
447448;2295801000000; FRAIS EMB GORGONZ MASCARP X 6;FRAIS EMB GORG;1 ;0.0;0220272000;46;421;3 
160680;3293791250007;500G BOUQUET DATTE DEGLET NOUR;500G BOUQUET D;1 ;1.49;0230361560;10;120;ZZ
074538;3368950776824;300 SACS DE CAISSE 25L        ;300 SACS DE CA;2 ;18.7;0905050000;40;813;3 
480381;3490900000106;PARAPLUIES ENFANT             ;PARAPLUIES ENF;2 ;3.59;0420972510;2 ;710;ZZ
131518;3256225432677;180G BUCHE CHEVRE CARACT.25% U;180G BUCHE CHE;1 ;1.53;0220262505;80;430;8 
238352;3112301106910;25G BOCAL MORILLES            ;25G BOCAL MORI;1 ;10.88;0230362510;20;120;ZZ
676738;2861864000000;      FR.EMB.LONZU TR CORSE X6;FR.EMB.LONZU T;1 ;0.0;0245433000;70;380;4 
074740;3368950776824;SAC DE CAISSE 25L             ;SAC DE CAISSE ;2 ;0.06;0905051500;40;813;ZZ
010275;3021690010275;R&R.CHEZ RAYNAL CASSOUL.(CU)  ;R&R.CHEZ RAYNA;1 ;10.47;RAYNAL CAS;22;240;3 
649414;3760112650018;110G 16 TAPAS FROMAGERES 16%MG;110G 16 TAPAS ;1 ;1.73;0225284530;14;420;ZZ
