Code;Gencod;Long_Name;Short_Name;VAT_Code;Purchase_Price;Nomenclature;SousFamilleDistri_Code;FamilleDistri_Code;Categorie_Code
437320;3256220496148;150G CHOCO.NR FOURRE MENTHE U ;150G CHOCO.NR ;2 ;0.73;0105021510;35;60 ;8 
NULL;3256225444656;20X30L SAC COEXTRUDES LIEN U  ;20X30L SAC COE;2 ;0.45;0115141005;65;510;8 
261999;3116740022619;250G BONBON MAGNIFICAT        ;250G BONBON MA;2 ;1.25;0105022510;61;70 ;3 
455336;3256220366281;300G BETTERAVES ROUGES U      ;300G BETTERAVE;1 ;0.71;0240391520;53;380;8 
602713;3387620006252;300G MERGUEZ MAZETTE          ;300G MERGUEZ M;1 ;1.9;0255474805;21;486;3 
557104;3502110003782;1.5L ICE TEA CITRON CITRON VER;1.5L ICE TEA C;1 ;1.42;0110100510;25;300;3 
677019;3228470046435;36 DOS SENSEO CLASSIQUE MAXI  ;36 DOS SENSEO ;1 ;3.53;0105011005;37;30 ;3 
558134;3019084031333;4X1/6 SARDINES A LA TOMATE    ;4X1/6 SARDINES;1 ;4.06;0105051005;10;220;ZZ
514651;3103220033784;275G CROCO PIK                ;275G CROCO PIK;2 ;1.0;0105022515;64;70 ;3 
605753;8436049651804;50G LOMO TRANCHE 1.50E        ;50G LOMO TRANC;1 ;0.99;0240389999;20;380;1 
410085;3265471024086;BLE 1L HUILE TOURNESOL LESIEUR;BLE 1L HUILE T;1 ;2.23;0105032005;40;170;3 
529339;3256223681404;CRAY.LONG HALO.U 230W300W R7  ;CRAY.LONG HALO;2 ;1.18;0320721005;35;610;8 
098859;3116430210180;400G TEA TIME SPORT HIVER     ;400G TEA TIME ;1 ;4.98;0105021005;24;20 ;ZZ
437118;3256222240510;250G SALADE PARISIENNE THON U ;250G SALADE PA;1 ;1.13;0105051005;25;220;8 
150339;3760056150339;(MT)OIGNON FILET 1KG          ;OIGNON FILET  ;1 ;1.0;0230359900;93;450;ZZ
644155;3700281100150;DECORATION NOEL 1.5 ¤         ;DECORATION NOE;2 ;1.01;0305601025;30;600;ZZ
743682;3215666550227;BTE BEL COLOR CHATAIN     22  ;BTE BEL COLOR ;2 ;5.13;0120150515;50;640;3 
612140;3760000950220;1.5L EAU DE SOURCE PROVENCE   ;1.5L EAU DE SO;1 ;0.14;0110103005;12;320;ZZ
865094;3178530408515;235G MUFFIN B.MAMAN CHOCO     ;235G MUFFIN B.;1 ;1.28;0210231010;96;20 ;3 
613285;7622210054012;BTE 25ST NORMAL  MAXWELL      ;BTE 25ST NORMA;1 ;1.48;0105011015;39;30 ;3 
181351;3187570015447;250G CAFE COMMERCE EQUITABLE  ;250G CAFE COMM;1 ;2.49;0105011005;25;30 ;3 
518833;3449860415703;100G PETITS BATON NATURE      ;100G PETITS BA;1 ;1.56;0240410540;10;380;3 
025961;3263670162219;1/5 SARDINE NATURE CONNETABLE ;1/5 SARDINE NA;1 ;1.28;0105051005;10;220;3 
589895;3017760589895;LU PEP.MINI ROLLOS  225G (CU) ;LU PEP.MINI RO;1 ;1.46;0105021005;34;20 ;ZZ
417760;3256220280211;1KG FARINE DE BLE T65 U BIO   ;1KG FARINE DE ;1 ;0.8;0105031005;10;100;11
444767;3256224310600;150G FROM.NATURE A TARTINER U ;150G FROM.NATU;1 ;0.57;0225283005;23;420;8 
